İlerleme	=COUNTIF(E:E;TRUE)&" / "&(COUNTA(E:E)-1)				Formül Türkçe locale (;) için. Sheets İngilizce locale ise ; yerine , kullan.
#	Adım	Komut	Beklenen / doğrulama	✔	Not — tuzak
■ 0. ÖN KOŞULLAR
0.1	kaggle CLI kurulu	pipx install kaggle	kaggle --version yanıt veriyor	FALSE
0.2	hf CLI kurulu — izole	pipx install huggingface_hub	hf --help çalışıyor	FALSE	requirements.txt stok bir torch pinliyor, MLC kendi torch'unu pinliyor. İkisini aynı env'de çözmek MLC kurulumunu bir kez bozdu.
0.3	Kaggle kimliği	source ../.env	push.sh kimlik hatası vermiyor	FALSE	KAGGLE_API_TOKEN oradan gelir. Alternatif: kaggle auth login — kendi token'ını cache'ler.
0.4	HF write token	hf auth login	hf auth whoami => user=Emrahisik	FALSE	TUZAK: whoami token'ın ROLÜNÜ söylemez, read-only token write olanla birebir aynı görünür. En ucuz prob adım 3.1 — write yoksa anında 403.
0.5	İki hesap karıştırılmadı	—	HF: Emrahisik / Kaggle: emrahik	FALSE	Biri diğerinden türetilemez. HF namespace'i CARD.md'nin citation bloğunda ve load_dataset çağrılarında geçiyor.
■ 1. VERİ ÜRETİMİ (yerel)
1.1	Backend'i ayağa kaldır	PORT=8090 go run ./cmd/server &	:8090 yanıt veriyor	FALSE	mf-backend/ içinde. Prompt'lar backend'den çekiliyor, elle kopyalanmıyor: yerel bir kopya iki taraftan biri düzenlendiği an kayar ve hiçbir şeyin göndermediği bir prompt'a ayarlanmış adapter çıkar. Eğitim normal biter, loss makul görünür.
1.2	Ortam değişkenleri	export BASE_URL=http://localhost:8090 TOKEN=<bir hesabın token'ı>	—	FALSE	mf-inference/peft/ içinde.
1.3	Yatırım setini üret	python3 build_dataset.py --domain startup-investability --out-dir data/investment	800 satır	FALSE	9 kriter, kriter başına 3 fragment.
1.4	Pazarlama setini üret	python3 build_dataset.py --domain digital-marketing --out-dir data/marketing	800 satır	FALSE	6 kriter, kriter başına 4 fragment.
1.5	İki rubriği birleştir	python3 merge_rubric_sets.py --input data/investment --input data/marketing	1600 rows — 12000 findings, 3247 absent (27%)	FALSE	Deterministik karıştırma. Sayı tutmuyorsa bir üstteki iki adımdan biri eksik koştu.
1.6	Contrast set — yatırım	python3 build_contrast_set.py --domain startup-investability --out data/contrast_investment.jsonl	60 çift	FALSE	quality + removal. Held-out "bu vakayı gördü mü"yü cevaplar; "kuralı mı öğrendi yoksa fragment bankasını mı"yı cevaplamaz.
1.7	Contrast set — pazarlama	python3 build_contrast_set.py --domain digital-marketing --out data/contrast_marketing.jsonl	60 çift	FALSE
1.8	Ayrık bölme doğrulandı	(üretecin kendi assert'i, her koşuda)	train/eval örtüşmesi %0	FALSE	Önceki hali iki bölmeyi tek RNG akışından çekiyordu. Ölçüldüğünde pazarlama eval'inin %81'i train'de çıktı: adapter'ın yayına alınıp alınmayacağına karar veren sayı, büyük ölçüde hatırlamayı ölçüyordu.
1.9	Fragment bankası gözden geçirildi (opsiyonel)	python3 review_fragments.py --out review.md	—	FALSE	BİLİNEN SINIR: "bu metin 4 alır" kararını bir alan sahibi onaylamadı. Yapılana kadar adapter'ın kimin ölçütünü öğrendiği belirsiz.
■ 2. KAGGLE DATASET
2.1	Veri + script'leri yayınla	source ../.env && ./push.sh	staged 6 dosya listelendi (4 jsonl + 2 .py)	FALSE	Script'ler dataset'in İÇİNDE taşınıyor, hücrelere yapıştırılmıyor: Flutter v7 koşusu yalnız Kaggle'ın sürüm geçmişinde yaşamıştı ve kurtarıldığında tek çıkarım hücresi vardı, eğitim kodu yoktu.
2.2	Sürüm işlenmesi bitti	kaggle datasets status emrahik/rubric-dataset	ready	FALSE	TUZAK: hâlâ işlenen bir sürüme kernel push edilirse notebook hiç mount görmez ve hata düz FileNotFoundError olarak okunur. Bekle, sonuç çıkarma.
2.3	machine_shape metadata'da duruyor	kernel-metadata.json (train / eval / probe)	machine_shape: NvidiaTeslaT4	FALSE	TUZAK: atlanırsa Kaggle P100 verir (sm_60) ve 4-bit NF4 çalışmaz. T4 de 1660 Ti gibi sm_75 — orada alınan derleme kutuda geçerli.
■ 3. HUGGING FACE YAYINI
3.1	Repo oluştur	hf repos create Emrahisik/rubric-dataset --repo-type dataset --public	403 gelmedi	FALSE	Aynı anda token'ın write olduğunun kanıtı (bkz. 0.4).
